id,name,firstName,lastName,party,chamber,district,title,status,phone,email,website,committees,legisGaGovId
ocd-person/13b7af1b-5b56-481b-a81a-2001846188a6,Bruce Williamson,Bruce,Williamson,Republican,House of Representatives,112,Representative,active,404-656-5025,bruce.williamson@house.ga.gov,https://www.legis.ga.gov/members/house/778,"Banks and Banking; Energy, Utilities and Telecommunications; Ethics; Insurance; Regulated Industries; Rules; Transportation; Ways and Means",778
ocd-person/b1187e7a-8cea-4e91-9c9f-7c7c61df3c85,Bryce Berry,Bryce,Berry,Democratic,House of Representatives,56,Representative,active,404-656-0220,bryce.berry@house.ga.gov,https://www.legis.ga.gov/members/house/5069,Economic Development and Tourism; Information and Audits; State Planning and Community Affairs,
ocd-person/d40576ac-fbc0-4b42-98ee-f6362063784d,Buddy DeLoach,Buddy,DeLoach,Republican,House of Representatives,167,Representative,active,404-656-7857,buddy.deloach@house.ga.gov,https://www.legis.ga.gov/members/house/303,Defense and Veterans Affairs; Ethics; Insurance; Judiciary; Judiciary Juvenile; Natural Resources and Environment; Reapportionment and Redistricting; Regulated Industries; Retirement,303
ocd-person/842218b5-88ae-4ba8-8395-756bf3340e16,Butch Parrish,Butch,Parrish,Republican,House of Representatives,158,Representative,active,404-656-5141,butch.parrish@house.ga.gov,https://www.legis.ga.gov/members/house/183,Appropriations; Banks and Banking; Economic Development and Tourism; Health; Healthcare Special; Human Relations and Aging; Public and Community Health; Rules,183
ocd-person/98850c9f-1c37-4177-9ad8-17d2b4d3c8d4,Carden Summers,Carden,Summers,Republican,Senate,13,Senator,active,404-656-9224,carden.summers@senate.ga.gov,https://www.legis.ga.gov/members/senate/4971,Agriculture and Consumer Affairs; Banking and Financial Institutions; Economic Development and Tourism; Higher Education; Regulated Industries and Utilities,4971
ocd-person/562e162f-2a60-441c-956b-11db12eef266,Carl Gilliard,Carl,Gilliard,Democratic,House of Representatives,162,Representative,active,404-656-7859,carl.gilliard@house.ga.gov,https://www.legis.ga.gov/members/house/4881,Appropriations; Creative Arts and Entertainment; Insurance; Natural Resources and Environment; Reapportionment and Redistricting; Transportation,4881
ocd-person/3646e872-85a6-4383-97c5-36ff96ca7113,Carmen Rice,Carmen,Rice,Republican,House of Representatives,139,Representative,active,404-656-0188,carmen.rice@house.ga.gov,https://www.legis.ga.gov/members/house/5064,Education; Judiciary Juvenile; Resource Management Special; Transportation,
ocd-person/0f5a9273-2fc6-458f-af59-b75070a1dc76,Carolyn Hugley,Carolyn,Hugley,Democratic,House of Representatives,141,Representative,active,404-656-5058,carolyn.hugley@house.ga.gov,https://www.legis.ga.gov/members/house/133,Appropriations; Banks and Banking; Ethics; Insurance; Rules; Urban Affairs,133
ocd-person/72370a62-92f4-46f1-ab7b-193a643085b8,Carter Barrett,Carter,Barrett,Republican,House of Representatives,24,Representative,active,404-656-0152,carter.barrett@house.ga.gov,https://www.legis.ga.gov/members/house/5020,Appropriations; Banks and Banking; Code Revision; Higher Education; Ways and Means,5020
ocd-person/0d75f0d9-0242-4f72-b4f3-1cd085eb26b6,Charlice Byrd,Charlice,Byrd,Republican,House of Representatives,20,Representative,active,404-656-0213,charlice.byrd@house.ga.gov,https://www.legis.ga.gov/members/house/75,"Budget and Fiscal Affairs Oversight; Economic Development and Tourism; Game, Fish and Parks; Human Relations and Aging; Judiciary: Non-Civil; State Planning and Community Affairs; Transportation",75
ocd-person/cba2f06c-773c-49d3-949c-b1a2db377c21,Chas Cannon,Chas,Cannon,Republican,House of Representatives,172,Representative,active,404-656-0177,charles.cannon@house.ga.gov,https://www.legis.ga.gov/members/house/5058,Agriculture and Consumer Affairs; Appropriations; Defense and Veterans Affairs; Information and Audits; Natural Resources and Environment; Resource Management Special; Ways and Means,5058
ocd-person/d79c3e9b-b73d-416b-9bfd-8a0338d8256c,Chris Erwin,Chris,Erwin,Republican,House of Representatives,32,Representative,active,404-656-7850,chris.erwin@house.ga.gov,https://www.legis.ga.gov/members/house/4965,Appropriations; Education; Insurance; Intragovernmental Coordination; Retirement; Rules; State Planning and Community Affairs,4965
ocd-person/3ff894cb-f2e4-47d0-9f67-b125245a10c3,Chuck Efstration,Chuck,Efstration,Republican,House of Representatives,104,Representative,active,404-656-5052,chuck.efstration@house.ga.gov,https://www.legis.ga.gov/members/house/846,Appropriations; Ethics; Insurance; Investigating Licensing Issues Special; Judiciary; Judiciary Juvenile; Judiciary: Non-Civil; Reapportionment and Redistricting; Rules; Ways and Means,846
ocd-person/b11d0191-cd84-4a93-add6-ee65494caff2,Chuck Hufstetler,Chuck,Hufstetler,Republican,Senate,52,Senator,active,404-656-0034,chuck.hufstetler@senate.ga.gov,https://www.legis.ga.gov/members/senate/838,Appropriations; Finance; Health and Human Services; Higher Education; Retirement; Rules; Special Committee on Eliminating Georgia's Income Tax,838
ocd-person/42517dd7-eccb-4d22-a795-cbd010b69ee6,Chuck Martin,Chuck,Martin,Republican,House of Representatives,49,Representative,active,404-656-5146,chuck.martin@house.ga.gov,https://www.legis.ga.gov/members/house/164,"Appropriations; Creative Arts and Entertainment; Energy, Utilities and Telecommunications; Higher Education; Regulated Industries; Retirement; Rules; Ways and Means",164
ocd-person/1ac93f89-f367-4de3-82ba-79fa78d4d134,Chuck Payne,Chuck,Payne,Republican,Senate,54,Senator,active,404-656-5080,chuck.payne@senate.ga.gov,https://www.legis.ga.gov/members/senate/4909,"Children and Families; Education and Youth; Higher Education; Public Safety; Science and Technology; Veterans, Military and Homeland Security",4909
ocd-person/e1a9102d-f845-47f5-882e-e344eef060ec,Clint Crowe,Clint,Crowe,Republican,House of Representatives,118,Representative,active,404-656-0325,clint.crowe@house.ga.gov,https://www.legis.ga.gov/members/house/5002,Banks and Banking; Judiciary: Non-Civil; Public Safety and Homeland Security; State Planning and Community Affairs; Technology and Infrastructure Innovation; Ways and Means,5002
ocd-person/17a7e011-73f2-4ac5-8470-3436b47a6744,Clint Dixon,Clint,Dixon,Republican,Senate,45,Senator,active,404-463-2518,clint.dixon@senate.ga.gov,https://www.legis.ga.gov/members/senate/4982,Appropriations; Economic Development and Tourism; Education and Youth; Metropolitan Atlanta Rapid Transit Overview; Rules; State and Local Governmental Operations; Transportation,4982
ocd-person/ec6cf250-ebcc-4dda-89a5-12da9ebbe51a,Dale Washburn,Dale,Washburn,Republican,House of Representatives,144,Representative,active,404-656-0152,dale.washburn@house.ga.gov,https://www.legis.ga.gov/members/house/4958,Appropriations; Banks and Banking; Creative Arts and Entertainment; Higher Education; Public and Community Health; Regulated Industries; Ways and Means,4958
ocd-person/1a9598cc-056f-4725-a3fb-64c3f0fd26ed,Danny Mathis,Danny,Mathis,Republican,House of Representatives,133,Representative,active,404-656-0152,danny.mathis@house.ga.gov,https://www.legis.ga.gov/members/house/4959,Agriculture and Consumer Affairs; Appropriations; Human Relations and Aging; Motor Vehicles; Public Safety and Homeland Security; Small Business Development; Transportation,4959
ocd-person/1f94316e-fb58-401f-bbfc-5ada0a717b6b,Dar'shun Kendrick,Dar'shun,Kendrick,Democratic,House of Representatives,95,Representative,active,404-656-0202,darshun.kendrick@house.ga.gov,https://www.legis.ga.gov/members/house/770,Economic Development and Tourism; Judiciary Juvenile; Judiciary: Non-Civil; Small Business Development; Technology and Infrastructure Innovation,770
ocd-person/d00eb950-0fb6-41ab-ae22-8e9ce84d7cf0,Darlene Taylor,Darlene,Taylor,Republican,House of Representatives,173,Representative,active,404-463-2246,darlene.taylor@house.ga.gov,https://www.legis.ga.gov/members/house/786,Agriculture and Consumer Affairs; Appropriations; Healthcare Special; Insurance; Public and Community Health; Reapportionment and Redistricting; Rules; Transportation,786
ocd-person/ad18dba4-9247-4542-95b1-2ccef815dbc7,David Clark,David,Clark,Republican,House of Representatives,100,Representative,active,404-656-0188,david.clark@house.ga.gov,https://www.legis.ga.gov/members/house/867,Defense and Veterans Affairs; Economic Development and Tourism; Education; Health; Interstate Cooperation; Intragovernmental Coordination; Transportation,867
ocd-person/9bcfa0eb-ee7d-4762-9555-7bc4a67d6417,David Huddleston,David,Huddleston,Republican,House of Representatives,72,Representative,active,404-656-0325,david.huddleston@house.ga.gov,https://www.legis.ga.gov/members/house/5033,"Agriculture and Consumer Affairs; Energy, Utilities and Telecommunications; Interstate Cooperation; Natural Resources and Environment; Resource Management Special",5033
ocd-person/0f288c5b-484a-4b70-8209-0a23f922edd1,David Jenkins,David,Jenkins,Republican,House of Representatives,136,Representative,active,404-656-0188,david.jenkins@house.ga.gov,https://www.legis.ga.gov/members/house/5005,Agriculture and Consumer Affairs; Defense and Veterans Affairs; Judiciary Juvenile; Public Safety and Homeland Security; Regulated Industries; Retirement; Transportation,5005
ocd-person/4b05e770-4423-4b64-8ae1-9600e8c73244,David Lucas,David,Lucas,Democratic,Senate,26,Senator,active,404-656-0150,david.lucas@senate.ga.gov,https://www.legis.ga.gov/members/senate/157,Appropriations; Health and Human Services; Insurance and Labor; Regulated Industries and Utilities; Transportation; Urban Affairs,157
ocd-person/9a8e7b0c-3c19-473f-b04a-d3a17037af0a,David Sampson,David,Sampson,Democratic,House of Representatives,153,Representative,active,404-656-0109,david.sampson@house.ga.gov,https://www.legis.ga.gov/members/house/5052,Agriculture and Consumer Affairs; Human Relations and Aging; Insurance,5052
ocd-person/83a7bbf2-d69c-4813-bbeb-52820e6b9af4,David Wilkerson,David,Wilkerson,Democratic,House of Representatives,38,Representative,active,404-656-0314,david.wilkerson@house.ga.gov,https://www.legis.ga.gov/members/house/760,Budget and Fiscal Affairs Oversight; Education; Judiciary Juvenile; Retirement,760
ocd-person/5061bc6b-83af-46d0-a78d-30ebe10a63db,Debbie Buckner,Debbie,Buckner,Democratic,House of Representatives,137,Representative,active,404-656-0116,debbie.buckner@house.ga.gov,https://www.legis.ga.gov/members/house/71,Appropriations; Natural Resources and Environment; Retirement; Rural Development; State Properties; Ways and Means,71
ocd-person/b824f8fd-7343-449d-8027-fcd0afaf1949,Deborah Silcox,Deborah,Silcox,Republican,House of Representatives,53,Representative,active,404-657-1803,deborah.silcox@house.ga.gov,https://www.legis.ga.gov/members/house/4887,Code Revision; Health; Judiciary; Judiciary: Non-Civil; Metropolitan Atlanta Rapid Transit Overview; Urban Affairs,4887
ocd-person/1bb8d14b-9d5d-4edd-8c93-37e95991a8e4,Debra Bazemore,Debra,Bazemore,Democratic,House of Representatives,69,Representative,active,404-656-0202,debra.bazemore@house.ga.gov,https://www.legis.ga.gov/members/house/4890,Economic Development and Tourism; Governmental Affairs; Human Relations and Aging; Natural Resources and Environment; Small Business Development,4890
ocd-person/016fb7f0-2b08-4587-b7f2-8d18c1d9b8f5,Demetrius Douglas,Demetrius,Douglas,Democratic,House of Representatives,78,Representative,active,404-656-7859,demetrius.douglas@house.ga.gov,https://www.legis.ga.gov/members/house/817,Banks and Banking; Health; Insurance; Intragovernmental Coordination; Metropolitan Atlanta Rapid Transit Overview; Motor Vehicles,817
ocd-person/73918c45-83c1-4d52-a84d-3ad7ad8de40b,Derek Mallow,Derek,Mallow,Democratic,Senate,2,Senator,active,404-656-7586,derek.mallow@senate.ga.gov,https://www.legis.ga.gov/members/senate/5007,Children and Families; Economic Development and Tourism; Ethics; Investigating Licensing Issues Special; State and Local Governmental Operations; Transportation,5007
ocd-person/9046fcb2-f3eb-4233-bd92-32c94e60f9df,Derrick Jackson,Derrick,Jackson,Democratic,House of Representatives,68,Representative,active,404-656-7859,derrick.jackson@house.ga.gov,https://www.legis.ga.gov/members/house/4891,Budget and Fiscal Affairs Oversight; Defense and Veterans Affairs; Regulated Industries; State Planning and Community Affairs,4891
ocd-person/3a323603-753e-4380-993c-9bb2a7fc55f3,Derrick McCollum,Derrick,McCollum,Republican,House of Representatives,30,Representative,active,404-656-0152,derrick.mccollum@house.ga.gov,https://www.legis.ga.gov/members/house/5022,Defense and Veterans Affairs; Natural Resources and Environment; Public Safety and Homeland Security; Regulated Industries; Transportation,5022
ocd-person/8f76af22-98dc-4e1e-ba99-75b87c1129d6,Devan Seabaugh,Devan,Seabaugh,Republican,House of Representatives,34,Representative,active,404-651-7737,devan.seabaugh@house.ga.gov,https://www.legis.ga.gov/members/house/5009,"Appropriations; Creative Arts and Entertainment; Energy, Utilities and Telecommunications; Industry and Labor; Public and Community Health; Transportation",5009
ocd-person/8afda706-7afa-462c-89f2-0d6d5da010ff,Dewey McClain,Dewey,McClain,Democratic,House of Representatives,109,Representative,active,404-656-0220,dewey.mcclain@house.ga.gov,https://www.legis.ga.gov/members/house/845,"Game, Fish and Parks; Industry and Labor; Motor Vehicles; State Planning and Community Affairs",845
ocd-person/efb9168c-b45a-4f43-bba5-d6f05e7d9cbe,Doc Rhett,Doc,Rhett,Democratic,Senate,33,Senator,active,404-656-0054,michael.rhett@senate.ga.gov,https://www.legis.ga.gov/members/senate/855,Finance; Judiciary; Reapportionment and Redistricting; Regulated Industries and Utilities; Rules; Special Committee on Eliminating Georgia's Income Tax,855
ocd-person/81dde544-49e9-4fb0-9313-32eacaf6194b,Don Parsons,Don,Parsons,Republican,House of Representatives,44,Representative,active,404-656-5143,don.parsons@house.ga.gov,https://www.legis.ga.gov/members/house/184,"Appropriations; Code Revision; Energy, Utilities and Telecommunications; Health; Intragovernmental Coordination; Resource Management Special; Technology and Infrastructure Innovation; Ways and Means",184
ocd-person/7f88fadb-2f51-48c7-8ae5-e20cd2f33e4a,Donzella James,Donzella,James,Democratic,Senate,28,Senator,active,404-463-1379,donzella.james@senate.ga.gov,https://www.legis.ga.gov/members/senate/372,Appropriations; Economic Development and Tourism; Education and Youth; Interstate Cooperation; Urban Affairs,372
ocd-person/818f1afb-2850-448e-99c1-be63a9acfe95,Doreen Carter,Doreen,Carter,Democratic,House of Representatives,93,Representative,active,404-656-0220,doreen.carter@house.ga.gov,https://www.legis.ga.gov/members/house/3877,Agriculture and Consumer Affairs; Code Revision; Economic Development and Tourism; Education; Small Business Development,3877
ocd-person/6be704ef-6250-4e08-86d3-f5fa2e1eebf3,Drew Echols,Drew,Echols,Republican,Senate,49,Senator,active,404-463-3931,drew.echols@senate.ga.gov,https://www.legis.ga.gov/members/senate/5067,Agriculture and Consumer Affairs; Appropriations; Economic Development and Tourism; Retirement; Science and Technology,
ocd-person/4cf7c975-678b-4e21-9877-6d22d7b37916,Ed Harbison,Ed,Harbison,Democratic,Senate,15,Senator,active,404-656-0074,ed.harbison@senate.ga.gov,https://www.legis.ga.gov/members/senate/17,"Appropriations; Insurance and Labor; Reapportionment and Redistricting; Regulated Industries and Utilities; Rules; Special Committee on Eliminating Georgia's Income Tax; State Institutions and Property; Veterans, Military and Homeland Security",17
ocd-person/777f58bb-9d6b-4755-ab7b-b94d11629cb5,Ed Setzler,Ed,Setzler,Republican,Senate,37,Senator,active,404-656-0256,ed.setzler@senate.ga.gov,https://www.legis.ga.gov/members/senate/203,"Appropriations; Education and Youth; Health and Human Services; Science and Technology; State and Local Governmental Operations; Veterans, Military and Homeland Security",203
ocd-person/f33d979c-554c-433e-ad0f-837eef1da589,Eddie Lumsden,Eddie,Lumsden,Republican,House of Representatives,12,Representative,active,404-656-7850,eddie.lumsden@house.ga.gov,https://www.legis.ga.gov/members/house/826,Appropriations; Defense and Veterans Affairs; Governmental Affairs; Human Relations and Aging; Insurance; Public Safety and Homeland Security; Rules,826
ocd-person/18427775-e3e7-4730-bb6f-722616e6aebe,Edna Jackson,Edna,Jackson,Democratic,House of Representatives,165,Representative,active,404-656-0265,edna.jackson@house.ga.gov,https://www.legis.ga.gov/members/house/5011,Appropriations; Economic Development and Tourism; Higher Education; Human Relations and Aging; Urban Affairs,5011
ocd-person/4615e308-db74-408f-89df-02be56b5013b,El-Mahdi Holly,El-Mahdi,Holly,Democratic,House of Representatives,116,Representative,active,404-656-0287,el-mahdi.holly@house.ga.gov,https://www.legis.ga.gov/members/house/4954,Code Revision; Industry and Labor; Judiciary: Non-Civil; Small Business Development; Transportation,4954
ocd-person/3f15ad5e-877d-44aa-b5b3-b24587c42685,Elena Parent,Elena,Parent,Democratic,Senate,44,Senator,active,404-656-5109,elena.parent@senate.ga.gov,https://www.legis.ga.gov/members/senate/768,Appropriations; Education and Youth; Government Oversight; Judiciary,768
ocd-person/acc7c167-6251-4ce8-8021-511acfa291ef,Emanuel Jones,Emanuel,Jones,Democratic,Senate,10,Senator,active,404-656-0502,emanuel.jones@senate.ga.gov,https://www.legis.ga.gov/members/senate/28,Appropriations; Banking and Financial Institutions; Economic Development and Tourism; Interstate Cooperation; Natural Resources and the Environment; Urban Affairs,28
ocd-person/3b2b9f31-6859-4582-8d82-581597c0c178,Emory Dunahoo,Emory,Dunahoo,Republican,House of Representatives,31,Representative,active,404-656-7857,emory.dunahoo@house.ga.gov,https://www.legis.ga.gov/members/house/797,"Agriculture and Consumer Affairs; Appropriations; Banks and Banking; Game, Fish and Parks; Human Relations and Aging; State Properties",797
ocd-person/fe4b934e-8976-4c62-bcb0-ed8ae9782560,Eric Bell,Eric,Bell,Democratic,House of Representatives,75,Representative,active,404-656-0126,eric.bell@house.ga.gov,https://www.legis.ga.gov/members/house/5061,Defense and Veterans Affairs; Human Relations and Aging; Small Business Development,5061
ocd-person/abece831-30a8-4cf8-94ff-d41f7f48197f,Eric Gisler,Eric,Gisler,Democratic,House of Representatives,121,Representative,active,404-656-0287,eric.gisler@house.ga.gov,https://www.legis.ga.gov/members/house/5091,Defense and Veterans Affairs; Health; Intragovernmental Coordination,
ocd-person/bdc621be-7296-4383-8c45-b4533d1c106c,Esther Panitch,Esther,Panitch,Democratic,House of Representatives,51,Representative,active,404-656-0287,esther.panitch@house.ga.gov,https://www.legis.ga.gov/members/house/5026,Judiciary Juvenile; Judiciary: Non-Civil; Public Safety and Homeland Security,5026
ocd-person/b261086c-7b16-4a8e-82a6-22df4445af84,Floyd Griffin,Floyd,Griffin,Democratic,House of Representatives,149,Representative,active,404-656-7859,floyd.griffin@house.ga.gov,https://www.legis.ga.gov/members/house/5083,Defense and Veterans Affairs; Special Rules; State Planning and Community Affairs,
ocd-person/9e417b67-da09-4516-b858-6b2458f53633,Frank Ginn,Frank,Ginn,Republican,Senate,47,Senator,active,404-656-9224,frank.ginn@senate.ga.gov,https://www.legis.ga.gov/members/senate/751,Appropriations; Economic Development and Tourism; Metropolitan Atlanta Rapid Transit Overview; Natural Resources and the Environment; Regulated Industries and Utilities; Rules; State and Local Governmental Operations; Transportation,751
ocd-person/dc99efc3-076b-4d00-b4b0-66a0507a4057,Gabe Okoye,Gabe,Okoye,Democratic,House of Representatives,102,Representative,active,404-656-0220,gabe.okoye@house.ga.gov,https://www.legis.ga.gov/members/house/5041,"Energy, Utilities and Telecommunications; Human Relations and Aging; Small Business Development",5041
ocd-person/bd990496-ea34-4b79-8d6f-68cfed424c15,Gabriel Sanchez,Gabriel,Sanchez,Democratic,House of Representatives,42,Representative,active,404-656-0126,gabriel.sanchez@house.ga.gov,https://www.legis.ga.gov/members/house/5068,Budget and Fiscal Affairs Oversight; Governmental Affairs; Interstate Cooperation,
ocd-person/df023a79-0194-4d1a-8755-5dee4053e1cc,Gail Davenport,Gail,Davenport,Democratic,Senate,17,Senator,active,404-463-5260,gail.davenport@senate.ga.gov,https://www.legis.ga.gov/members/senate/10,Appropriations; Metropolitan Atlanta Rapid Transit Overview; Natural Resources and the Environment; Retirement; State Institutions and Property,10
ocd-person/47fd36f3-f5d4-4ef6-a429-1ffc7681e233,Gary Richardson,Gary,Richardson,Republican,House of Representatives,125,Representative,active,404-656-0254,gary.richardson@house.ga.gov,https://www.legis.ga.gov/members/house/5063,Public Safety and Homeland Security; Public and Community Health; Transportation,
ocd-person/570a213a-a475-4fd3-ac36-23e1bd1190be,Gerald Greene,Gerald,Greene,Republican,House of Representatives,154,Representative,active,404-656-9210,gerald.greene@house.ga.gov,https://www.legis.ga.gov/members/house/115,Appropriations; Economic Development and Tourism; Public Safety and Homeland Security; Retirement; Rules; Rural Development; State Properties,115
